post_name,address,company,pay,basic_request,JD,label
高级数据分析师（深圳）,大冲,百融云创,25k-40k,深圳 / 经验3-5年 / 硕士及以上 /岗位所属职位类型数据分析师 / 全职,"岗位职责： 
1、使用建模工具进行信用模型及反欺诈模型开发，包括数据准备、建模及数据分析、模型的选取与优化、模型验证等工作； 
2、对海量业务数据进行分析，深度挖掘内部数据，构建风控指标体系并具备开发特征库及解释相应衍生变量、规则的能力； 
3、熟悉风控审批、额度、定价策略的制定方法及相应建模流程； 
4、针对不同金融机构和业务给出相应的风控建模方案，向客户进行阐释并参与实施； 
5、针对客户痛点进行业务引导并提供技术支持； 
6、具备探索新业务场景的能力与热情，对于知识与技术向新场景迁移和应用有独立的见解。 
 
 
岗位要求： 
1、三年以上相关领域工作经验，统计、数学、计算机、金融工程等相关专业硕士及以上学历； 
2、至少能熟练运用SAS/R/Python中的一种进行数据分析或建模，熟练掌握数据库操作（如SQL语句）； 
3、掌握逻辑回归、决策树、机器学习等建模方法，了解算法的原理； 
4、拥有银行/互金/消金等金融机构数据分析、策略开发以及建模工作经验者优先； 
5、具备独立思考能力，逻辑严谨，对数据敏感，善于发现、探索并解决问题，自我驱动力强； 
6、有较强的责任心及抗压能力。",上市公司
数据分析师,科技园,云计算科技,15k-25k,深圳 / 经验不限 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"【岗位职责】 
 
1. 负责数据采集系统的开发和维护。 
 
2. 负责目标数据分析，清洗，数据质量控制。 
 
3. 参与多个数据项目算法设计。 
 
【任职要求】 
 
1. 技术扎实，必须本科计算机系或相关以上，熟悉Linux系统、多线程等网络通信编程相关知识。 
 
2. 擅长python，熟悉pandas，numpy等，从结构化和非结构化数据中解析数据。 
 
3. 了解Mysql、MongoDB、Redis、Nosql等数据库(任意一种或以上)。 
 
4. 积极主动，学习能力强，能接受出差驻场开发。 
 
【加分项】 
 
1. 有github开源项目，在校期间参加过竞赛，自主学习能力强，对各种新技术有热情，有领导潜力会优先考虑。 
 
2. 跟我们业务/行业有相关经验者加分，如中文自然语言处理 (NLP)/机器学习/金融。",大牛带队
数据分析师,宝安区,海柔创新,11k-16k,深圳 / 经验1-3年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"岗位职责： 
1.协助解决方案完成客户数据的清洗、分析； 
2.协助解决方案完成方案中的数据分析结果展示和可视化工作； 
3 负责方案模拟仿真，过程沉淀，结果承担； 
4.制作通用数据分析模型和快速执行脚本。 
 
任职要求： 
1.1-3年工作经验，物流或电商行业优先； 
2.熟练使用Python（必须）、Excel、SQL中的两至三种对大型数据处理技术，熟悉Tableau、PowerBI中至少一种BI软件，熟悉常用数据统计和分析方法； 
3.良好的逻辑思维能力、业务解读能力和快速学习能力，能够独立完整的数据分析项目； 
4.具备良好的沟通能力和基础英文读写能力、团队合作精神、工作规划能力和主动意识。",独角兽公司 晋升发展
数据分析师,南山区,极光,20k-28k,深圳 / 经验3-5年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"职位描述： 
1.对产品进行数据分析，发现问题并配合提出解决方案； 
2.跟踪并进行竞品分析，找出产品优劣势； 
3.产品运营及推广，销售或客户线索跟踪反馈； 
4.产品功能点创新与颠覆。 
 
 
职位要求： 
1.至少有一段工作经历超过2年，且与数据分析或产品相关工作经验； 
2.了解概率论与数理统计的原理及方法； 
3.了解数据分析，数据挖掘基本算法和数学模型，有大量数据搜集、整理分析与推断预测的经验； 
4.熟练一种统计软件(R, SPSS, SAS等)，有数据处理，统计分析，数据建模，机器学习等相关算法应用经历； 
5.掌握一定的关系数据库知识，熟悉SQL语言。",大数据核心业务 发展前景好 晋升空间大
数据分析师,南山区,字节跳动,15k-30k,深圳 / 经验1-3年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"职位职责： 
通过数据与模型，深度参与字节跳动集团采购的经营管理以及相应产品的迭代优化工作。包括数仓及报表设计、采购风险建模及监测、产品迭代支持等。具体包括： 
1、从宏观视角构建集团采购的指标及报表体系。提供采购内、外部的数据测算支持，做好采购各环节的数据监测及预警； 
2、通过专项与建模分析，针对流程薄弱环节、执行高风险环节、成本优化潜力环节等，给出有价值的判断和建议，并推进落地； 
3、与产研团队配合，优化采购管理系统、采购商城及差旅等用户产品，提升流程效率和产品体验。 
此职位开放工作地点可选：北京、上海、成都、深圳 
职位要求： 
1、本科及以上学历，1年及以上战略、数据分析相关工作经验，有互联网公司数据分析、产品经理等方面经验者优先； 
2、熟练掌握SQL，会使用R/python/sas等常用分析工具进行数据模型开发；统计学基础知识熟练，有良好的统计量化能力；对于数据采集、数仓建设、BI构建、数据治理知识有基本了解； 
3、对数据分析有强烈兴趣，有用客观数据分析判断的量化思维和逻辑思维；有良好的产品感，商业嗅觉灵敏，善于发掘业务问题和痛点； 
4、好奇心强，求知欲强，有钻研探索精神；喜欢挑战，有较高的自我期望和成长诉求； 
5、有国际化视野、英语可以作为工作语言者优先。","六险一金,团队氛围好,晋升空间大"
高级研发工程师（大数据方向）,南山区,楚星软件,15k-22k,深圳 / 经验3-5年 / 大专及以上 /岗位所属职位类型大数据开发工程师 / 全职,"岗位职责： 
1、负责海量数据离线、实时处理系统的开发建设；  
2. 负责大数据平台资源规划、权限控制、运维架构设计，为各产品业务提供稳定、高效、安全的运行环境；  
3. 负责大数据数据底层技术研究及开发，技术能力输出、技术引导、技术风险识别；  
4. 负责大数据平台建设工作，实践平台战略，包括：平台建设、数据架构实施、数据开发等；  
5. 跟踪大数据前沿技术和产品，与业界先进技术保持同步；  
6. 跨团队项目协调。 
任职要求： 
1.大专及以上学历，计算机相关专业，3年及以上大数据架构工作经验，参与实施过1个以上大数据平台项目；  
2. 熟练使用Flink，并且对Flink的底层原理有很深的理解，包括Runtime、SQL&Connectors、State、CK等，有结合 Iceberg 应用优先；  
3. 熟悉大数据领域生态，如：Spark、Hive、HDFS、ClickHouse、Kylin、ES、Presto、Iceberg；  
4. 熟练使用java、python、scala等编程语言，熟练操作linux系统，具备上述工具在linux下的部署实施经验；  
5. 具有良好文档编写能力，能输出标准、准确的手册供部门实施人员参考；  
6. 良好的团队协作与沟通能力。 
 
备注：有基于CDH平台研发背景者优先",五险一金，年终奖，双休，弹性上班
数据分析师 - 国际化直播,南山区,字节跳动,30k-60k,深圳 / 经验3-5年 / 本科及以上 /岗位所属职位类型后端工程师 / 全职,"职位职责：
1. 负责国际化直播业务的数据分析工作，根据直播业务目标，设计合理的分析框架、指标体系、A/B实验，对业务表现进行准确评估；
2. 通过数据指标监控线上产品运营状况，及时发现数据异常与风险，基于归因分析定位原因并推进解决；
3. 针对直播体验、玩法、活动、营收等内容积极探索专项分析，采用数据驱动的方式帮助产品、研发、策略进行方案改进；
4. 抽象并沉淀通用的分析框架、数值测算、自动归因等技术方案，并在直播运营平台的数分场景中进行落地；
职位要求：
1. 本科及以上学历，数学、统计学、计算机相关专业，具备互联网公司数据分析相关经验；
2. 掌握常用的统计分析方法，能熟练使用SQL / Python / R进行数据清洗与分析工作，具备Hive / Spark等大数据经验者优先；
3. 具备较强的协调沟通能力，对业务逻辑与数据逻辑有不错的理解能力，能快速对问题进行思路拆解与数据验证；
4. 积极主动，勤于思考，能通过数据的手段更进一步帮助业务提前预知问题，寻找优化点；","下午茶,健身瑜伽,六险一金,五险一金"
游戏数据分析师,科技园,冰川网络,15k-30k,深圳 / 经验1-3年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"职位描述： 
1.负责游戏日常广告数据统计需求、异常分析和监控； 
2.对游戏用户进行深度挖掘，制作报告，反哺广告投放，为素材制作和人群定向提供数据支持； 
3.需要进行有限度的广告投放，了解广告投放的最新变化。 
 
任职要求： 
1.熟练掌握sql，熟悉python，熟悉BI； 
2.熟悉数据统计和分析方法； 
3.对游戏行业有极大兴趣，有过大型网游的经历； 
4.有良好的沟通能力，较强的抗压能力；",五险一金 零食下午茶 节假日福利 免费班车
运营数据分析师,南山区,黑鲨科技,15k-30k,深圳 / 经验不限 / 本科及以上 /岗位所属职位类型运营经理 / 全职,1、负责黑鲨游戏中心以及应用商店等分发业务相关指标分析工作； 2、熟悉互联网行业常用数据分析指标，掌握产品运营数据的监控和分析方法； 3、对数据敏感，建设、完善数据报表体系，提升现有数据分析的便捷性和深度； 4、业务日报、月报等数据输出，异常分析、专题分析、监控报表体系的维护，包括数据收集整理、逐步推进报表自动化及可视化； 职位要求： 1、数学应用、统计学、游戏等相关专业优先，本科及以上学历，有3年以上工作经验； 2、具备较强逻辑思维能力、数据敏感性及业务分析能力，具备良好的沟通表达能力，具有较强的服务意识和责任感，抗压力强； 3、精通Excel、PPT等办公软件，熟悉SQL、python等优先；,负责黑鲨互联网商业化数据分析
数据分析师,南山区,珍爱网,20k-40k,深圳 / 经验3-5年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"工作职责：（偏信息流投放侧） 
1、负责业务数据整理，推进部门分析体系建设； 
2、跟进业务数据需求，统计各类数据，为业务决策提供依据； 
3、参与业务运营，专题分析，并输出分析报告，推进业务运营； 
4、挖掘业务增长点。 
任职资格： 
1、本科及以上学历，数学、统计类专业优先，3年以上数据分析相关工作经验，有信息流、广告投放经验的优先； 
2、熟悉数据统计过程，熟练使用SQL等语言及工具进行数据处理； 
3、有独立的专题分析能力； 
4、熟悉shell、python脚本优先； 
5、了解hadoop、hive、分布式仓库者优先； 
6、热爱互联网行业，性格nice，有较强的沟通能力和逻辑思维。",薪酬待遇棒 办公环境好 工作氛围愉悦
