post_name,address,company,pay,basic_request,JD,label
数据分析专员,宝山区,拓端数据,3k-6k,上海 / 在校/应届 / 本科及以上 /岗位所属职位类型数据分析师 / 实习,"职位诱惑： 
远程工作、弹性工作、按项目结算、高时薪、优秀平台 
 
职位描述： 
1、了解行业基础知识，熟练使用一种数据统计分析工具，能快速有效的给出数据分析方法并给出结论； 
 
2、熟悉相关数据分析和挖掘工具，如：Python、R、SAS、Matlab、WEKA、SPSS modeler；熟悉SQL语言，对大数据进行筛选过滤，快速处理数据； 
 
3、具备一定的互联网产品知识及思路，能够将常规定向数据处理逻辑演变成为具有一定商业价值的互联网数据产品； 
 
4、思维敏捷、对大数据具有敏锐的洞察和分析能力，与创新意识，能独立提出挖掘方案和思路； 
 
5、逻辑性强，能独立编写专业的行业数据分析报告，及时发现业务中隐含的漏洞变化和问题； 
 
6、了解互联网趋势，熟悉大数据发展方向及市场现状。",远程工作、按项目结算、优秀平台、高时薪
迪卡侬电商数据分析实习生--上海,外高桥,迪卡侬,2k-3k,上海 / 在校/应届 / 本科及以上 /岗位所属职位类型数据分析师 / 实习,"工作职责:
-协助完成日常商业数据收集及整理;（50%工作量）
-协助完成日常商业分析报表;
-协助完成商业及专题分析报告;
-实施RPA机器人应用开发和测试，根据业务场景的变更持续优化RPA应用
-分析运营业务应用场景，梳理标准化业务流程，构建RPA原型
-协助数据分析部门的其他相关工作;

任职要求:
-***大学本科及以上在读;
-每周能保证4-5天出勤优先（周一必须出勤），实习期至少3个月;
-耐心细致，责任心强，分析能力、逻辑思维能力、学习能力强;
-有python，RPA基础更佳
-具备良好的沟通协调能力，英语日常听说读写，熟练EXCEL应用，Tableau应用，SQL熟练，熟悉数据库应用者优先;
-热爱运动，有事业心，有责任心，恪守职业道德，爱岗敬业，保密意识强;

我们提供: 
年轻化的团队，轻松快乐的办公环境和简单的人际关系 
4000㎡健身中心和10000㎡运动场，让你一周五天运动不重样 
 
如果你热爱运动热爱生活， 
如果你想体验逾40年法企的工作氛围， 
如果你想以主人翁的角色工作， 
如果你对电子商务很感兴趣， 
如果你富有责任心，是个实干家， 
同时你也充满活力，是个梦想者， 
如果你希望认识一群有趣并热爱运动的年轻人， 
 
请到这里来！",免费健身房
数据分析实习生,徐家汇,SAS,3k-4k,上海 / 在校/应届 / 硕士及以上 /岗位所属职位类型专业咨询顾问 / 实习,SAS-华东区-数据分析团队 实习生招募（可留用）职位亮点：全球最佳雇主 / 转正机会 / Work-Life Balance 职位描述：1.      参与金融服务业（银行、保险等）的需求分析、数据建模等解决方案设计，包括客户管理、营销管理及服务转型、财务分析、产品管理和风险管理等；2.      使用数据分析语言，完成数据的探查与预处理，模型设计开发和部署等；3.      协助高级分析顾问完成金融业数据分析项目的实施，或其他新项目的拓展工作；4.      工作地点：上海，陆家嘴 / 人民广场 任职要求：1.      全职或每周至少4天的到岗时间，至少3个月；2.      专业为计算机、数据科学、统计学、数学、商业分析等方向，985/211/QS100高校优先；3.      熟悉常见的机器学习算法，如逻辑回归，决策树和支持向量机等；4.      至少掌握一种编程语言，如SAS、Python、R等，有SQL使用经验；5.      优秀的学习能力、逻辑思维能力和独立思考能力，擅于解决问题；6.      较强的表达沟通能力和团队协作能力，工作细致，条理性强；7.      熟练掌握SQL / 有SAS认证 / 有SAS使用经验者优先；8.      有咨询公司 / 数据分析相关实习经历者优先； 我们能为你提供：1.      150/day的实习工资；2.      深入参与金融服务业数据分析项目实施全流程的机会；3.      了解相关职业发展需求和方向的机会；4.      毕业后优先入职留用的机会； 简历请投递至：******************邮件主题【实习生应聘-姓名-专业-可实习时长】（例如:【实习生应聘-张三-数据科学-3个月】）,转正机会
数据分析实习生,五角场,脉策科技,2k-4k,上海 / 在校/应届 / 本科及以上 /岗位所属职位类型数据分析师 / 实习,"公司：上海脉策数据科技有限公司（公众号：城市数据团）公司成员大多来自同济大学、复旦大学、伦敦大学学院等国内985和欧美top200院校，氛围非常好，大牛也很多，公司运营的公众号“城市数据团”在业内享有盛名。 
 
岗位描述： 
1. 协助数据分析师完成数据治理，数据分析等工作； 
2.    根据要求从数据源提取相关的统计数据、空间数据等进行多种交叉分析、建模分析等； 
3.    对分析结果进行可视化呈现； 
4.    对数据分析结果进行解释和解读； 
5.    完成数据分析报告。 
 
岗位要求： 
1. 熟练运用Excel进行数据处理及分析，可以对数据进行可视化展示。熟悉Python、R等数据分析工具，具有较强数据处理能力者优先。熟悉常用可视化工具库，能对数据分析结果进行进阶可视化呈现者优先； 
2.    熟练使用GIS工具者优先； 
3.    熟悉SQL，具有一定的数据抽取能力; 
4. 快入职，每周至少出勤4个工作日，保证三个月及以上实习期。 
 
我们可以提供您： 
1、了解相关职业发展需求和方向的机会； 
2、了解当前互联网、人工智能、大数据等热门行业的发展形势和动态的机会； 
3、正式毕业后，优先入职留用的机会。 
  
我们喜欢这样的你： 
1、 ***本科及以上学历，大三大四或研二研三在读。 
2、 地理信息，应用统计，产业经济，计算机科学等相关专业优先； 
3、 工作认真细致有责任心，逻辑条理清晰； 
4、 自驱自觉，愿意团队协作，有较强的表达和沟通能力。 
 
工作时间：9:30-18:30，弹性工作制，周末双休； 
薪资报酬：本科100-150元/天，研究生150-200元/天，根据年级和能力具体而定。",大数据行业
数据分析实习生,静安区,QuestMobile,3k-4k,上海 / 在校/应届 / 本科及以上 /岗位所属职位类型数据分析师 / 实习,"工作内容： 
 
1. 协助分析师进行数据标注、数据整理、数据校对，有效的反馈数据问题； 
2. 基于现有数据，协助分析师完成统计分析工作，并提出有效分析观点； 
3. 协助完成客户的需求分析，包括客户背景调研、需求梳理等桌面研究工作； 
4. 协助完成研究报告撰写工作。 
 
职位要求： 
 
1. 本科及以上学历或在读学生，计算机、统计学、数学、经管类专业优先； 
2. 对移动互联网商业分析、数据分析、增长策略等领域感兴趣，有相关项目经验者优先； 
3. 熟练使用Excel、PPT等办公软件，掌握基本统计知识及数据分析技巧，能运用数据追踪问题、验证结论，擅长VBA、Python、SQL等工具者优先考虑； 
4. 思维逻辑清晰，具备优秀的理解与学习能力，良好的自我驱动力和抗压能力；良好的沟通能力，团队协作能力，及较强的责任感； 
5. 能够保证每周至少3天在岗，实习3个月及以上； 
6. 加分项：有咨询/互联网经验",CBD办公环境 零食下午茶
数据分析师,洋泾,中软国际科技服务有限公司,13k-20k,上海 / 经验3-5年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"1、承担金融领域风控相关的数据分析和建模工作，完成相应的指标设计、数据清洗、数据挖掘； 
2、协助业务搭建分析模型，独立负责模型监控和模型运营； 
3、负责代码优化，提升代码效率； 
任职要求： 
1、统计/数学/计算机/金融/经济类专业，本科及以上学历，有2年以上相关经验可适当放宽专业; 
2、熟练掌握Mysql、Python、Excel等分析工具，有逻辑回归、决策树、GBDT、xgboost等算法模型项目实施经验; 
3、有1年及以上金融机构支付结算业务风险分析、建模经验，并且具备数据提取、整合、分析能力; 
4如有反洗钱领域相关经验可优先考虑",五险一金年终奖
数据分析师,徐汇区,字节跳动,15k-30k,上海 / 经验1-3年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"职位职责：
1、负责字节跳动旗下各款产品的数据分析及建设工作；
2、根据用户行为等数据进行业务分析，挖掘各类因素点，帮助业务快速提升；
3、建设业务分析模型，不断评估和优化业务分析模型；
4、支持业务上各种统计分析需求。
职位要求：
1、数学、统计学、计算机相关专业优先，对数据分析有强烈兴趣者优先；
2、有IT大数据分析经验，有大型互联网公司数据分析经验、互联网数据建模分析经验者优先；
3、有一线产品或运营业务优化经验者优先；
4、能快速理解业务，发掘业务细节和数据之间的联系；
5、熟练掌握 SQL，对R/Python/Tableau等工具熟悉者优先。","六险一金,弹性工作,租房补贴,餐补"
数据分析师,虹梅路,砻鼎实业,25k-30k,上海 / 经验3-5年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"工作职责：
1、负责公司项目的模型设计、维护、扩展和优化，构建健壮的数据中台公共模型；
2、参与把关模型开发设计评审，确保开发严格按照数据中台分层分类模型原则设计和开发；
3、根据业务或场景应用需求，按应用划分主题域，并设计逻辑模型和物理模型；
4、根据设计的模型，进行数据Mapping设计，并能有效地指导数据开发人员进行模型开发。

任职资格
1、3年以上数据仓库或数据平台相关建模经验，985/211院校毕业的本科或以上学历，有金融行业经验者优先；
2、熟悉数据平台模型设计方法论，熟悉数据平台分层架构和数据模型数据域划分，具有维度建模经验者优先；
3、有数据平台特别是阿里数据平台、数据仓库、大数据平台建模经验，熟悉数据建模体系，如Kimball、OneData等相关思维体系的优先；
4、强烈的责任心与使命感，对所负责工作有主动意识，具备主动学习的精神和能力；",补充公积金，年金，餐饮补贴，14薪
数据分析师,浦东新区,上海域起,25k-45k,上海 / 经验不限 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"职位概述: 参与游戏产品的研发全流程，提供用户研究工作支持
岗位职责: 1. 参与游戏产品的研发全流程，提供用户研究工作支持；
2. 熟练运用各种用户研究方法，跟进游戏产品研发各个阶段，提供客观的产品体验度量结果以及合理的用户体验提升策略；
3. 关注运营数据和用户反馈，评估、跟进、促使产品提升用户体验；
4. 跟进产品用户体验设计标准，跟踪和监督产品用户体验等的改进，提升产品质量；
任职条件: 1.本科或以上学历，数据挖掘、机器学习、计算机、统计、数学等相关专业优先；
2.3年以上互联网产品数据挖掘或分析经验，游戏行业背景优先；
3.有linux环境下工作经验，了解分布式结构，熟悉SQLPythonR相关技术优先；
4.充分的数据敏感度，能从海量数据中提炼核心结论并形成专业报告，及时反馈数据中隐含的变化和问题；
5.优秀的分析问题和解决问题的能力，能够把合理的思路成功应用于实践；
6.表达能力强，具备优秀的快速学习能力、沟通协调能力及团队精神。",二次元科幻机甲少女战斗项目
数据分析师,天山路,拼多多,20k-40k,上海 / 经验3-5年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"岗位职责： 
1.负责数据提取，支持业务的数据分析，搭建运营监控报表，不断优化评估，推动业务发展； 
2.善于沟通，能够深入了解业务、挖掘业务问题和痛点，通过数据分析为业务决策、产品方向、运营策略提供数据支持； 
3.沉淀分析思路与框架，提炼数据产品需求，与相关团队（如产品，技术开发等团队）协作并推动数据产品的落地，实现数据产品化。 
 
岗位要求： 
1.数学、计算机、统计学等相关专业，2年以上相关工作经历； 
2.熟悉hive sql，flink 熟悉各种大数据技术平台，有丰富的数据分析、挖掘、清洗和建模的经验； 
3.熟悉数据模型，数据标准，具备电商领域数据分析经验优先； 
4.具备良好的抗压能力、沟通能力和团队精神。",一年两次调薪机会 团队氛围佳
