post_name,address,company,pay,basic_request,JD,label
数据分析师,长沙·长沙县,湖南语亦云科技有限公司,2k-3k,长沙 / 在校/应届 / 学历不限 /岗位所属职位类型数据分析师 / 实习,"岗位职责
1.对网站及APP平台进行负面信息监测，收集和整理、归类，及时反馈预警。
2.根据需求，上网浏览收集梳理相关平台行业等信息，完成日常监测。
3.根据需求，完成各类专项监测报告撰写。
岗位要求
1.练使用EXCEL、WORD等办公软件，高效完成信息处理工作。
2.有敏锐的新闻意识，能够准确判断与收集客户所需信息。
3.较强的写作能力，文字功底扎实。
4.有敬业的工作态度，工作主动、细致，有责任感。",周末双休、五险一金、每周四下午茶等
数据分析师,北京·朝阳区,蓝阵,2k-3k,北京 / 在校/应届 / 本科及以上 /岗位所属职位类型数据分析师 / 实习,1、工作积极认真、细心负责，熟练运用excel等办公软件 2、优秀的分析问题和解决问题的能力，对解决具有挑战性的问题充满激情 3、能认真执行领导安排的工作，耐心，细致。,与大型公司合作，数据分析，可开实习证明
助理数据分析师,上海·张江,PwC,2k-4k,上海 / 在校/应届 / 本科及以上 /岗位所属职位类型数据分析师 / 实习,"Roles/Responsibilities： 
• Responsible for the architecture design of models / strategies / algorithms for the innovative applications, including but not limited to predictive analysis, natural language processing etc. 
• Identifies unique opportunities to collect new data. 
• Designs new processes and builds large, complex data sets. 
• Strategizes new uses for data and its interaction with data design. 
• Locates new data sources, analyzes statistics and implements quality procedures. 
• Performs data studies of new and diverse data sources. 
• Finds new uses for existing data sources. 
• Conducts statistical modeling and experiment design. 
• Discovers “stories” told by the data and presents them to other scientists and business managers. 
• Tests and validates predictive models. 
• Builds web prototypes and performs data visualization. 
• Conducts scalable data research on and off the cloud. 
• Implements automated processes for efficiently producing scale models. 
• Designs, modifies and builds new data processes. 
• Generates algorithms and creates computer models. 
• Proficient programming in Python, R, and SQL (Structured Query Language). 
• Hadoop, NoSQL, Java are strong plus. 
• Programming on scalable/Big Data language such as Scala/Spark is a plus. 
 
 
Background/Experience/Credentials: 
• Bachelor's degree or above, will graduate in 2023; 
• Major in Computer Science, Information Technology, Information System, Math, Statistics, Data Engineering and related disciplines 
• good at Python,R,SQL database 
• good at SQL Server,MySQL, Java 
• Good command of written and spoken English; 
• Possesses a working knowledge of statistics, programming and predictive modelling; 
• Background or strong interest in related technology solutions; 
• Demonstrates excellent code writing abilities; 
• Has strong critical thinking skills and the ability to relate them to the products or services the company is producing; 
• Possess a combination of creative abilities and business knowledge; 
• Demonstrate good verbal and written communication skills as well as the ability to bridge the gap between data science and business management; 
• Start from internship and can be converted into full time employee after graduation based on internship assessment",可转正实习 可在家办公 弹性工作 住房补贴
数据分析师（实习）(F922),深圳·南山区,一面数据,3k-6k,深圳 / 在校/应届 / 本科及以上 /岗位所属职位类型数据分析师 / 实习,"职位描述：
1. 与资深分析师合作，撰写、交付分析报告；
2. 协助维护公司内部数据，监控问题并跟进解决；
3. 负责与公司合作伙伴日常沟通和关系维护工作。

职位要求：
1. 熟练使用 Excel 和 PowerPoint，能够熟练使用 Python、SQL、Tableau 等编程语言及工具；
2. 本科及以上学历，至少实习两个月以上（请在简历上标明实习时长及一周几天）；
3. 有良好的沟通能力，做事认真、负责、有耐心，有较强的服务意识、团队合作意识和主观能动性。

温馨提醒：
投实习的同学们请在简历上备注好可开始实习的时间以及可实习时长哦~",大数据人工智能，名校系大牛，技术氛围浓
数据分析师（实习） (JR4JV),深圳·南山区,一面数据,3k-6k,深圳 / 在校/应届 / 本科及以上 /岗位所属职位类型数据分析师 / 实习,"职位描述： 
1.负责电商数据标注团队的管理和建设，综筹标注团队的工作进度、任务分发、结果验收。 
2.规划电商数据标注方案，与产品、研发团队紧密合作，能够根据业务需求安排有效的标注计划，对标注质量负责。 
3.对标注后的数据进行合理有效的分类和管理，保障数据质量，方便业务的提取和使用。 
4.研究各类数据标注的工具和方法，定期总结标注经验，能有效的提升标注团队的空体效率和质量。 
 
职位要求： 
1.本科及以上学历，至少能实习3个月，一周5天（请在简历上标明实习时长及一周几天）。 
2.熟练操作excel,了解相关AI算法原理的优先。 
3.深入了解产品的研发和运营流程。熟悉用户体验、交互设计。 
4.思维开放、善于进行创新，较强的逻销分析能力和数据敏感性。 
5.有良好的沟通能力，做事认真、负责、有耐心，有较强的服务意识、团队合作意识和主观能动性。",名校系大牛，技术氛围浓，氛围轻松愉快
数据产品经理 (MJ001121),成都·武侯区,美呗,10k-15k,成都 / 经验5-10年 / 本科及以上 /岗位所属职位类型大数据经理｜主管 / 全职,"岗位职责 
1.负责大数据平台产品全生命周期的工作，包含产品需求分析、产品设计、技术研发跟进、产品测试、产品上线、产品培训推广等环节，保证产品目标达成； 
2.主动深入业务，理解业务逻辑，提供支持业务高效运转的数据解决方案。 
3.和技术团队合作，结合最新的大数据技术，完善现有的数据流，完善产品的数据展现结果； 
4.负责与研发、设计、测试、运维、售后等部门沟通、协调及推进，确保产品的正常落地； 
5.与客户沟通，分析及明确需求细节，将客户的需求转化成可实现的产品设计，并输出PRD、流程图、需求说明书、产品规格等产品文档； 
6.数据标签产品体系的设计和实现。 
任职要求 
1、3年以上数据产品（大数据平台/数据湖/BI/算法平台等）的工作经验，负责过业务级或平台级数据产品 
2、熟练的原型及文档编写能力，优秀的沟通能力，一定的项目管理经验，熟悉医美行业优先 
3、熟练使用工具：Axure、Visio、墨刀、Mindmanager、Xmind、PPT等； 
4、熟悉软件产品生命周期管理，掌握软件项目管理基本方法； 
5、出色的沟通、组织、协调和项目管理能力，执行力强，有高度责任心和团队合作精神。",医美行业头部公司
高级研发工程师（大数据方向）,深圳·南山区,楚星软件,15k-22k,深圳 / 经验3-5年 / 大专及以上 /岗位所属职位类型大数据开发工程师 / 全职,"岗位职责： 
1、负责海量数据离线、实时处理系统的开发建设；  
2. 负责大数据平台资源规划、权限控制、运维架构设计，为各产品业务提供稳定、高效、安全的运行环境；  
3. 负责大数据数据底层技术研究及开发，技术能力输出、技术引导、技术风险识别；  
4. 负责大数据平台建设工作，实践平台战略，包括：平台建设、数据架构实施、数据开发等；  
5. 跟踪大数据前沿技术和产品，与业界先进技术保持同步；  
6. 跨团队项目协调。 
任职要求： 
1.大专及以上学历，计算机相关专业，3年及以上大数据架构工作经验，参与实施过1个以上大数据平台项目；  
2. 熟练使用Flink，并且对Flink的底层原理有很深的理解，包括Runtime、SQL&Connectors、State、CK等，有结合 Iceberg 应用优先；  
3. 熟悉大数据领域生态，如：Spark、Hive、HDFS、ClickHouse、Kylin、ES、Presto、Iceberg；  
4. 熟练使用java、python、scala等编程语言，熟练操作linux系统，具备上述工具在linux下的部署实施经验；  
5. 具有良好文档编写能力，能输出标准、准确的手册供部门实施人员参考；  
6. 良好的团队协作与沟通能力。 
 
备注：有基于CDH平台研发背景者优先",五险一金，年终奖，双休，弹性上班
数据分析师,北京·望京,花椒直播,15k-20k,北京 / 经验1-3年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"职位描述： 
1) 负责搭建业务分析模型，优化业务策划并驱动业务增长，提取分析结论并例行化为分析报告； 
2) 负责直播产品数据分析工作，建立用户画像，挖掘用户行为数据，通过实验及分析产出结论，推动产品优化改进； 
3) 梳理业务数据指标框架，搭建业务数据指标体系，将业务需求和分析框架提炼为数据产品及可视化展示； 
 
任职要求： 
1) 有数据行业从业经历，有直播、游戏、增长、金融等行业工作经验的优先考虑； 
2) 对数据、业务有深入理解，有较强的数据驱动能力； 
3) 对数据敏感度高，善于发现数据的变化，可以及时感知数据异常并作出解决方案； 
4) 熟练掌握Hive/SQL，精通Excel，掌握Tableau等BI工具尤佳； 
5) 有较强的沟通能力、能与业务建立良好的关系；",福利多 平台大 空间足
数据分析师,北京·中关村,趣头条,11k-14k,北京 / 经验1-3年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"职位描述 
1、 负责C端产品数据分析，以及为产品策略提供数据支撑； 
2、 结合产品、商业、投放相关策略挖掘、撰写数据需求，并推进落地； 
3、 分析用户行为，提供人群画像信息数据，进行效果评估； 
4、 不断迭代数据产品需求，深度挖掘数据指标，搭建合理的数据分析体系； 
 
岗位要求： 
1、2年以上用户数据、投放数据分析经验，参与过直播、社交等产品，有成功经验者优先； 
2、善于系统化思考，数据分析能力强，基于数据提出有建设性的突破点； 
3、对LTV负责，通过用户行为、产品留存、投放等数据合理制定优化方案； 
4、高效执行、责任心、团队合作意识，强自驱力和学习能力； 
5、熟练数据分析工具、熟悉sql、hql等数据查询语言；",上市公司，潜力项目
数据分析师,福州·仓山区,字节跳动,10k-20k,福州 / 经验1-3年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"职位职责： 
1、与业务方充分沟通，结合业务需求，生产、建设、维护基础数据和工具； 
2、负责对日常业务数据的挖掘和分析，形成报告为业务部门决策提供分析方案和行动建议； 
3、建立并持续完善业务数据的统计分析模型，确保其实用性及可衡量性。 
职位要求： 
1、本科及以上学历，一到三年数据分析相关从业经验，计算机科学、软件工程、统计学等数据相关专业优先； 
2、熟练掌握Excel、SQL、Python等。 
3、具备快速学习和思考能力、敏锐的数据洞察力以及良好的表达能力； 
4、责任心强，抗压性强，敢于挑战和突破。","六险一金,晋升空间大,扁平管理,餐补"
数据分析师,上海·漕河泾,智多鱼科技,10k-18k,上海 / 经验1-3年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"岗位职责： 
1、负责业务数据统计和分析，为业务提供决策支持； 
2、协助部门同事评估模型效果，定位问题推动优化； 
3、负责可视化看板/报表设计和搭建。 
 
任职要求： 
1、本科及以上学历，理工科相关专业，有互联网金融行业经验优先考虑； 
2、熟练使用Python和SQL，擅长数据可视化；熟悉常用机器学习算法优先； 
3、有良好的沟通和表达能力，责任心强。",前景广、福利好
数据分析师,上海·天山路,拼多多,20k-40k,上海 / 经验3-5年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"岗位职责： 
1.负责数据提取，支持业务的数据分析，搭建运营监控报表，不断优化评估，推动业务发展； 
2.善于沟通，能够深入了解业务、挖掘业务问题和痛点，通过数据分析为业务决策、产品方向、运营策略提供数据支持； 
3.沉淀分析思路与框架，提炼数据产品需求，与相关团队（如产品，技术开发等团队）协作并推动数据产品的落地，实现数据产品化。 
 
岗位要求： 
1.数学、计算机、统计学等相关专业，2年以上相关工作经历； 
2.熟悉hive sql，flink 熟悉各种大数据技术平台，有丰富的数据分析、挖掘、清洗和建模的经验； 
3.熟悉数据模型，数据标准，具备电商领域数据分析经验优先； 
4.具备良好的抗压能力、沟通能力和团队精神。",一年两次调薪机会 团队氛围佳
数据分析师,上海·曹家渡,Wiredcraft,15k-25k,上海 / 经验3-5年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"Responsibilities 
 
 
 Create a tracking plan for digital products. 
 Coordinate with development team around implementation and help with validation. 
 Configure data platforms (for example Google Analytics or Adobe) to fit project needs. 
 Perform data analysis (client journey, landing page, channels ROI) of Web, mobile and WeChat digital journeys. 
 Perform regular audit and performance analysis of product and user data. 
 Support ad-hoc analysis requests. 
 Deliver client reports to communicate findings and analysis. 
 Educate strategy and technology teams on data and analytics best-practices. 
 
 
 
Requirements 
 
 
 3+ years experience working with data 
 Experience with analytics for digital products (apps or websites) 
 Good verbal and written English 
 Independent and organized 
 Bonus points:  
 1.Experience with BI tools 
 2.Experience working with engineering teams 
 3.Experience with data science 
 4.Consulting experience in a client-facing role 
 
 
 
About Wiredcraft 
 
Wiredcraft build digital products for large international companies. We need data analysts to help ensure data tracking is planned and implemented from the beginning and leverage the data platforms (for example Google Analytics or Adobe) to the fullest to support business and product needs. 
 
   
   
   
 
We believe in small, agile and battle-hardened teams of designers, engineers and product experts. We help multinational corporations move at the speed of startups & develop a product culture. 
 
   
 
Learn more about our company and how we work on our playbook: 
https://playbook.wiredcraft.com",高端客户、扁平管理、超长年假
