post_name,address,company,pay,basic_request,JD,label
数据分析工程师,通州区,北京京东世纪贸易有限公司,3k-6k,北京 / 在校/应届 / 本科及以上 /岗位所属职位类型数据分析师 / 实习,"工作内容： 
1-基于业务监控指标体系，进行异动指标分析或深度的专题分析定位问题并寻求解决方案； 
2-为业务团队提供专题分析、数据分析与挖掘、模型及算法等相关服务； 
3-提炼数据产品需求，提供数据产品解决方案，并最终推动数据产品落地。 
任职资格： 
1-2022年10月1日至2023年9月30日期间毕业，**本科及以上学历； 
2-良好的数据敏感度，能从海量数据发现问题； 
3-有常用数据分析工具的相关经验； 
4-思路清晰，善于思考，有很强的数据分析能力，能独立分析问题并推动解决问题。",福利多、双休、班车
数据分析师,西直门,开源证券,15k-20k,北京 / 经验3-5年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"岗位职责： 
1、负责公司APP平台用户、内容和产品相关数据的分析；以提升用户体验为目标、针对用户增长、留存、转化等环节提供数据分析支撑，挖掘数据与业务的深层关系，为业务挖掘新的增长点； 
2、根据APP用户运营和业务目标等设计基于智能化推荐策略并推动智能化运营的建设和持续性优化。 
3、制定数据分析模板，持续优化数据统计分析平台。 
 
任职要求 
1、本科及以上学历，3年以上数据分析相关工作经验，有C端用户增长及运营策略\推荐等工作经验者优先。 
2、具有较强的数据分析和挖掘能力，掌握Python、SQL等语言，对于数据分析有一定的方法论沉淀，有数据支持业务的优秀案例。 
3、熟悉C端APP和用户运营的方法，有策略类（用户增长及运营\推荐）相关经验者优先。",知名国企/福利好/扁平管理/活力
数据分析师,中关村,汽车之家,20k-40k,北京 / 经验5-10年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"岗位职责：
1. 与业务部门沟通掌握业务和产品动态、与BD沟通及时准确了解厂商需求；
2. 通过对海量数据的分析挖掘，负责产品前期的探索性分析和产品化
3. 参与大数据挖掘工作，从网站运营、营销传播、用户分析等方向为客户（汽车厂商）提供数据分析服务，并根据分析结果提出决策建议
4. 完成数据产品的底层数据监控体系，建立预警机制；
5. 协调数据运营、三反、数据安全等部门做好数据质量和数据安全工作；
 
岗位要求：
1. 本科以上学历，社会学、经济学、统计学、计算机等和数据处理高度相关专业，3年或以上互联网行业同等岗位工作经验；扎实的统计学、数据挖掘理论基础
2. 具有良好的商业敏感度和优秀的数据分析技能，能够开发创新而实际的分析方法以解决复杂的商业问题；具有优秀的报告讲解能力及沟通能力
3. 有互联网数据分析、运营优化相关背景；有网站用户行为研究和数据挖掘经验者优先，有搭建数据库经验优先拥有海量数据处理经验者优先
4. 熟练使用SPSS、SAS、R等数据分析挖掘软件；熟悉Hive，熟练使用SQL等数据库查询语言；
5. 具有较强结构化思维、逻辑思维能力，良好的沟通执行力。",平台大 氛围好 福利优
数据分析师 -python,常营,北京遥领医疗科技有限公司,5k-6k,北京 / 在校/应届 / 硕士及以上 /岗位所属职位类型数据分析师 / 实习,"岗位职责： 
 
1、协助完成项目数据处理工作，包括采集、抓取、清洗、整合等； 
 
2、协助与研发团队沟通，确保数据处理过程顺利、高效； 
 
3、配合项目组与客户沟通，确保项目进度； 
 
4、完成领导交办的其他工作。 
 
 
任职资格： 
 
1、 在校本科、研究生，每周至少实习4天，至少实习5个月时间，计算机、统计相关专业； 
 
2、 会使用Python等脚本语言，使用过Linux系统，有良好的编码习惯； 
 
3、 责任感强，具有良好的团队合作精神； 
 
实习薪资：220元-230元/天，可提供实习证明 。",领导nice，团队氛围好，创新型医疗科技，AI智能
数据分析师,三元桥,上海唯都,10k-15k,北京 / 经验3-5年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"岗位职责： 
1.根据业务需求输出日报，周报，月报，以及其他临时数据分析需求； 
2.CRM销售漏斗和转化分析，并提供各类业务相关的分析结果及建议； 
3.CRM数据沟通策略输出 
4.用户画像分析与用户调研 
5.CRM系统管理，协助业务解决CRM系统使用过程中的相关数据问题，包括数据报告，数据流转，传输逻辑等。 
 
任职要求： 
1.数学、统计、计算机及汽车相关专业本科以上学历； 
2.1年以上汽车行业数据分析或数据运营方面经验； 
3.做事细致、数字敏感、逻辑分析能力强； 
4.精通Excel，PPT ，Visio等 
5.有CRM业务分析经验者优先。",汽车行业 精准营销咨询 CRM专业团队
数据分析师（产品）,望京,陌陌,18k-35k,北京 / 经验1-3年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"岗位职责：
1、梳理、维护公司的各业务和数据指标的定义，搭建指标体系，保证业务、数据指标口径统一和数据准确性；
2、对用户增长策略、产品新功能提出数据建议，通过ABtest验证，给出效果评估和优化建议；
3、抽象数据分析需求，通过数据描绘出整个业务流程、用户行为和重点环节的转化，和产品经理合作达成业务增长；
4、通过和数据研发合作，通过流程化、工具化、自动化的思路，让数据供应做到高效、准确、信息充分透明。

岗位要求：
1、本科及以上学历，2年以上数据分析工作经验，统计、数学、计算机相关专业优先 ；
2、熟练使用SQL/HQL；熟悉业内埋点方案的使用场景，参与制定过产品埋点方案及规范设计；
3、良好的数据敏感度，有ABtest相关经验，熟悉常见的数据分析和处理方法，有数据质量控制意识；
4、主动性强，能深刻理解业务，对数据化运营有一定了解；能够根据用户对数据的应用场景，明确任务优先级，合理安排落地节奏；善于梳理总结形成流程或规范以便前瞻性解决类似问题；
5、自我驱动，有owner意识，交付能力强，面对复杂情况能够独立工作，结果导向；跨团队与部门的沟通能力强，有较强的团队协作意识和能力。",核心团队
数据分析师,三元桥,上海唯都,10k-15k,北京 / 经验3-5年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"岗位职责： 
1.根据业务需求输出日报，周报，月报，以及其他临时数据分析需求； 
2.CRM销售漏斗和转化分析，并提供各类业务相关的分析结果及建议； 
3.CRM数据沟通策略输出 
4.用户画像分析与用户调研 
5.CRM系统管理，协助业务解决CRM系统使用过程中的相关数据问题，包括数据报告，数据流转，传输逻辑等。 
 
任职要求： 
1.数学、统计、计算机及汽车相关专业本科以上学历； 
2.1年以上汽车行业数据分析或数据运营方面经验； 
3.做事细致、数字敏感、逻辑分析能力强； 
4.精通Excel，PPT ，Visio等 
5.有CRM业务分析经验者优先。",汽车行业 精准营销咨询 CRM专业团队
数据分析师,大山子,美餐,25k-40k,北京 / 经验3-5年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"职位描述 
- 搜集各部门的数据分析的需求，转化为可以执行的任务； 
- 梳理內部各类系统的底层数据结构，通过报表和可视化 dashboard 等形式完成数据分析需求； 
- 利用可视化的数据分析工具（Quicksight / Power BI 等），快速完成分析需求，帮助商业决策； 
- 进行产品、运营、财务等跨部门合作，以数据分析为目的，优化和改进系统； 
- 深入了解 to B 行业的商业模式，从行业趋势和产品形态等角度，分析影响产品体验提升与用户增长的因素、挖掘业务营运的数据、发现用户行为模式等，给出业务和运营建议； 
任职要求 
- 本科及以上学历，经济学、数学、统计学等理工科专业优先； 
- 不少于 2 年的互联网公司数据分析的经验； 
- 具有优秀的跨部门沟通的经验和能力； 
- 做事细致认真，对产出的细节有强迫症般的要求； 
- 熟悉 BI 的工作流程，了解主流的 BI 技术架构； 
- 熟悉至少一款 BI 工具，如 Power BI，Quicksight，Tableau 等； 
- 加分项：熟悉Python ，有用于数据分析的经验。",包2餐，不打卡
数据分析师,中关村,趣头条,11k-14k,北京 / 经验1-3年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"职位描述 
1、 负责C端产品数据分析，以及为产品策略提供数据支撑； 
2、 结合产品、商业、投放相关策略挖掘、撰写数据需求，并推进落地； 
3、 分析用户行为，提供人群画像信息数据，进行效果评估； 
4、 不断迭代数据产品需求，深度挖掘数据指标，搭建合理的数据分析体系； 
 
岗位要求： 
1、2年以上用户数据、投放数据分析经验，参与过直播、社交等产品，有成功经验者优先； 
2、善于系统化思考，数据分析能力强，基于数据提出有建设性的突破点； 
3、对LTV负责，通过用户行为、产品留存、投放等数据合理制定优化方案； 
4、高效执行、责任心、团队合作意识，强自驱力和学习能力； 
5、熟练数据分析工具、熟悉sql、hql等数据查询语言；",上市公司，潜力项目
数据分析师,立水桥,Flash express,12k-20k,北京 / 经验1-3年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"岗位职责 
1、通过对数据的敏锐洞察以及定性和定量分析，迅速定位内部问题或发现机会； 
2、负责日常数据分析及监控，针对异常情况协调资源进行跟踪和深入分析； 
3、能根据实际业务完成较深入的专项数据分析，并形成数据分析报告； 
4、负责数据分析体系建设和完善，挖掘流量、产品、策略方面的商业变现机会， 驱动商业化业务发展。 
职位要求： 
1. 本科及以上学历，数学/统计学/经济学/计算机等相关专业优先； 
2. 精通SQL，熟悉python、R、SAS等数据分析工具者优先； 
3、良好的沟通能力、团队合作精神、工作规划能力和主动意识； 
4、良好的逻辑思维能力、业务解读能力和快速学习能力，能够独立领导完整的数据分析项目； 
5、对数字比较敏感，热爱数据分析工作。",高速发展
